Country,Population,GDP_Billion_USD,Area_km2,Life_Expectancy
China,1411778724,19374,9596960,77.1
India,1393409038,3176,3287263,70.8
USA,331893745,23315,9833517,78.9
Indonesia,273523621,1186,1904569,71.3
Pakistan,220892331,348,881913,67.7
Brazil,213993437,1609,8515767,75.5
Nigeria,211400708,432,923768,54.7
Bangladesh,165650475,416,147570,73.0
Russia,145912025,1779,17098242,72.7
Ethiopia,120812698,127,1104300,66.2
Mexico,130262216,1293,1964375,75.1
Japan,125502000,4940,377975,84.3
Germany,83240525,4260,357114,81.4
Philippines,109581085,394,300000,71.7
Egypt,102334403,404,1001449,72.0
